REGI√O DE INTEGRA«√O,UNIDADE,MUNICIPIO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,REALIZADO,PROGRAMADO,EXEC ANUAL %,SITUA«√O
ARAGUAIA,VII - CONCEI«√O DO ARAGUAIA,CONCEI«√O DO ARAGUAIA,52,13,67,102,60,91,0,0,0,0,0,0,385,504,76%,MERECE ATEN«√O
ARAGUAIA,XV - REDEN«√O,REDEN«√O,179,53,87,48,15,0,0,0,0,0,0,0,383,502,76%,MERECE ATEN«√O
BAIXO AMAZONAS,IX - SANTAR…M,SANTAR…M,278,47,50,73,128,13,0,0,0,0,0,0,598,673,89%,CONFORME PROGRAMADO
CARAJ¡ÅS,VIII - MARAB√Å,MARAB√Å,319,0,73,336,51,0,0,0,0,0,0,0,789,712,111%,ACIMA DO PROGRAMADO
CARAJ¡ÅS,XXIII - PARAUAPEBAS,PARAUAPEBAS,13,52,60,96,0,0,0,0,0,0,0,0,161,289,56%,MERECE ATEN«√O
GUAJAR¡,I - CCSE,BEL…M,423,51,110,53,119,80,0,0,0,0,0,0,836,1659,50%,MERECE ATEN«√O
GUAJAR¡,II - CCBS,BEL…M,845,81,221,111,165,0,0,0,0,0,0,0,1423,1156,123%,ACIMA DO PROGRAMADO
GUAJAR¡,III - EDUCA«√O FÕSICA,BEL…M,38,43,0,67,43,50,0,0,0,0,0,0,241,775,31%,ABAIXO DO PROGRAMADO
GUAJAR¡,IV - ENFERMAGEM,BEL…M,215,95,23,27,113,22,0,0,0,0,0,0,495,471,105%,ACIMA DO PROGRAMADO
GUAJAR¡,V - CCNT,BEL…M,179,37,111,140,0,41,0,0,0,0,0,0,508,927,55%,MERECE ATEN«√O
GUAJAR¡,PLANET¡RIO,BEL…M,0,0,85,0,0,0,0,0,0,0,0,0,85,5,1700%,ACIMA DO PROGRAMADO
GUAJAR¡,REITORIA,BEL…M,190,33,26,65,0,0,0,0,0,0,0,0,284,483,59%,MERECE ATEN«√O
GUAJAR¡,ICOARACI,BEL…M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,N√O INICIADO
GUAJAR¡,MOSQUEIRO,BEL…M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,N√O INICIADO
GUAJAR¡,XXI - ANANINDEUA,ANANINDEUA,66,51,0,44,40,0,0,0,0,0,0,0,201,347,58%,MERECE ATEN«√O
GUAM¡,XX - CASTANHAL,CASTANHAL,104,20,80,68,159,0,0,0,0,0,0,0,441,679,65%,MERECE ATEN«√O
GUAM¡,X - IGARAP… A«U,IGARAP… A«U,91,35,45,0,0,65,0,0,0,0,0,0,236,419,56%,MERECE ATEN«√O
GUAM¡,XI - S√O MIGUEL DO GUAM¡,S√O MIGUEL DO GUAM¡,9,42,102,0,39,0,0,0,0,0,0,0,192,452,42%,ABAIXO DO ESPERADO
GUAM¡,XVII - VIGIA,VIGIA,90,43,66,0,0,0,0,0,0,0,0,0,199,387,51%,MERECE ATEN«√O
LAGO TUCURUÕ,XIII - TUCURUÕ,TUCURUÕ,116,0,0,115,49,0,0,0,0,0,0,0,280,472,59%,MERECE ATEN«√O
MARAJ”,XIX - SALVATERRA,SALVATERRA,56,0,30,32,47,0,0,0,0,0,0,0,166,448,37%,ABAIXO DO ESPERADO
RIO CAETE,XXI - BRAGAN«A,BRAGAN«A,30,0,0,85,51,0,0,0,0,0,0,0,166,295,56%,MERECE ATEN«√O
RIO CAPIM,BUJARU,BUJARU,0,0,0,0,176,0,0,0,0,0,0,0,176,200,88%,CONFORME PROGRAMADO
RIO CAPIM,VI - PARAGOMINAS,PARAGOMINAS,88,41,45,205,0,0,0,0,0,0,0,0,379,536,71%,MERECE ATEN«√O
TOCANTINS,XVI - BARCARENA,BARCARENA,14,47,25,31,38,33,0,0,0,0,0,0,188,353,53%,MERECE ATEN«√O
TOCANTINS,XVIII - CAMET¡,CAMET¡,70,79,171,0,0,0,0,0,0,0,0,0,320,504,63%,MERECE ATEN«√O
TOCANTINS,XIV - MOJU,MOJU,46,39,21,82,0,0,0,0,0,0,0,0,188,374,50%,MERECE ATEN«√O
XINGU,IX - ALTAMIRA,ALTAMIRA,85,24,46,0,41,43,0,0,0,0,0,0,239,530,45%,ABAIXO DO ESPERADO
Total,Total,Total,3596,926,1544,1780,1334,438,0,0,0,0,0,0,9559,14152,68%,MERECE ATEN«√O
